FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,LAT,LON
1699726,Cessnun Lakes,Lake,AK,2,Ketchikan Gateway,130,55.6630742,-130.8209544
1419488,Windbound Bay,Bay,AK,2,Aleutians East,13,55.6644444,-160.1675
2418862,City of Thorne Bay,Civil,AK,2,Prince of Wales-Hyder (CA),198,55.6648682,-132.5332989
1414782,Sleeping Beauty Mine,Mine,AK,2,Ketchikan Gateway,130,55.6661111,-132.0188889
1418605,Fox Cape,Cape,AK,2,Aleutians East,13,55.6663889,-159.5366667
1893675,Blunt Point,Cape,AK,2,Aleutians East,13,55.6666667,-160.1333333
1421310,Culebra Islands,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6669444,-133.4375
1416483,Wood Islands,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6677778,-133.7072222
1415287,Thorne Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.6686111,-132.5075
1415351,Tolstoi Point,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.6686111,-132.3908333
1896476,Cabo San Agustin,Cape,AK,2,Prince of Wales-Hyder (CA),198,55.6688219,-133.5482369
1939960,Outer Ketchikan Census Subarea (historical),Census,AK,2,Ketchikan Gateway,130,55.6697222,-130.8616667
1422268,Granite Creek,Stream,AK,2,Ketchikan Gateway,130,55.6702778,-130.9008333
1420111,Angel Lake,Lake,AK,2,Prince of Wales-Hyder (CA),198,55.6719665,-132.6383073
1424375,Point Francis,Cape,AK,2,Ketchikan Gateway,130,55.6722222,-131.8255556
1418343,Cape Leontovich,Cape,AK,2,Aleutians East,13,55.6738889,-162.2797222
1421764,Epsilon Rock,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6741667,-133.725
1420115,Anguilla Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.675,-133.5725
1424226,Pesquera Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6775,-133.6583333
1424976,Grace Cove,Bay,AK,2,Ketchikan Gateway,130,55.6777778,-130.9638889
1422528,Hendida Island,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6794444,-133.6713889
1421097,Cliff Point,Cape,AK,2,Ketchikan Gateway,130,55.6797222,-130.1280556
1420305,Bear Lake,Lake,AK,2,Wrangell,275,55.6808458,-132.1083253
1418027,Thorne Bay Seaplane Base,Airport,AK,2,Prince of Wales-Hyder (CA),198,55.6817658,-132.5244501
1419191,Sapsuk Lake,Lake,AK,2,Aleutians East,13,55.6822971,-161.0371789
1415291,Thorne River,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.6833333,-132.5502778
1421415,Deer Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.6833333,-132.5163889
1893651,Black Hills,Range,AK,2,Aleutians East,13,55.6833333,-162.0833333
1894731,Hoodoo Lake,Lake,AK,2,Aleutians East,13,55.6833333,-161.05
1423549,Margaret Lake,Lake,AK,2,Ketchikan Gateway,130,55.6843712,-131.5957087
1414453,Salt Lake Bay,Bay,AK,2,Prince of Wales-Hyder (CA),198,55.6855556,-133.3652778
1422106,Garita Rock,Island,AK,2,Prince of Wales-Hyder (CA),198,55.6855556,-133.5736111
2700687,Southeast Alaska Regional Health Consortium Thorne Bay Clinic,Building,AK,2,Prince of Wales-Hyder (CA),198,55.6864824,-132.5216517
1422225,Goose Creek,Stream,AK,2,Prince of Wales-Hyder (CA),198,55.6877778,-132.635
1669435,Thorne Bay,Populated Place,AK,2,Prince of Wales-Hyder (CA),198,55.6877778,-132.5222222
2721631,Thorne Bay Post Office,Post Office,AK,2,Prince of Wales-Hyder (CA),198,55.6878197,-132.5325433
